log,features,num_features,malr_2018,mlr_2018,R2_2018,malr_2019,mlr_2019,R2_2019,malr_2020,mlr_2020,R2_2020,malr_2021,mlr_2021,R2_2021,malr_2022,mlr_2022,R2_2022,malr,mlr,R2,abs_mlr
Y,Log_Tot_Benes,1,7.72083506729463,7.72083506729463,,7.6972926630082,7.6972926630082,,7.751557618964372,7.751557618964372,,7.432760193361324,7.432760193361324,,7.616097983728982,7.616097983728982,,7.643708705271502,7.643708705271502,0.0,7.643708705271502
Y,Tot_HCPCS_Cds,1,6.53989255352594,-5.438374523474573,-23.135324690669368,6.546340973518447,-5.484514868426378,-23.24011340512975,6.406306535573378,-5.318890783743884,-22.13677538555235,6.584470143504666,-5.6565985408212685,-24.441834624234087,6.520700747714632,-5.589585974306889,-23.72547687590246,6.519542190767413,-5.4975929381545985,-23.335904996297604,5.4975929381545985
Y,Tot_Benes,1,inf,inf,-48.6598027641181,inf,inf,-48.96646198421025,inf,inf,-46.95953752207273,inf,inf,-51.82820184707535,inf,inf,-50.698639595828425,inf,inf,-49.42252874266097,inf
Y,Tot_Srvcs,1,10.31131710681196,-10.29914521034635,-49.2190434024972,10.318959688280977,-10.304858116686244,-49.656947539161095,inf,inf,-47.80221488801632,10.343637820240884,-10.334084584346446,-52.33443749869874,10.269113084697455,-10.259814525053224,-50.988815396364835,inf,inf,-50.00029174494764,inf
Y,Tot_Sbmtd_Chrg,1,inf,inf,-48.27846619290763,inf,inf,-48.52259876556343,inf,inf,-46.57825966563966,inf,inf,-51.30692143442763,inf,inf,-50.17619047534679,inf,inf,-48.97248730677703,inf
Y,Tot_Mdcr_Alowd_Amt,1,inf,inf,-46.822061078456514,inf,inf,-47.35254831758343,inf,inf,-45.41201469944149,inf,inf,-50.24227265967437,inf,inf,-49.20920984821758,inf,inf,-47.80762132067467,inf
Y,Tot_Mdcr_Pymt_Amt,1,inf,inf,-47.534704489894104,inf,inf,-48.01338898933018,inf,inf,-46.04274255511582,inf,inf,-50.83668411338968,inf,inf,-49.77875633276785,inf,inf,-48.44125529609953,inf
Y,Bene_Avg_Age,1,1.1237873217103012,0.0463522792551762,0.0284968423547431,1.1142913264425645,0.0471002610477111,0.0365289316439405,1.1273800039684023,0.2338626392949014,0.01218250896343,1.0634709520821173,0.0534210294423797,0.0508146832420802,1.071502425802308,0.1774812028282384,0.043484355206792,1.1000864060011386,0.1116434823736814,0.0343014642821972,0.1116434823736814
Y,Bene_Avg_Risk_Scre,1,3.6215212446744514,-1.3354492436052243,-8.917682691100154,3.67325362542896,-1.4036696819146126,-9.088673089960796,3.678497025017279,-1.210398605600397,-9.289903379509411,3.880557654683757,-1.4389986672924715,-10.704843220283564,3.8664836494303114,-2.1130191253395876,-9.832816517208364,3.744062639846951,-1.5003070647504586,-9.566783779612456,1.5003070647504586
Y,pca_1,1,10.376212495261807,-10.372602936897094,-49.536906358284206,10.38089730011084,-10.377190974416642,-49.75649525709963,10.226523662875444,-10.22274692652852,-47.69675739882899,10.39509321972955,-10.391609260313349,-52.51320930357026,10.314962611453094,-10.31102516118355,-51.16600165601303,10.338737857886148,-10.33503505186783,-50.13387399475922,10.33503505186783
Y,Tot_Risk,1,inf,inf,-48.11487527288723,inf,inf,-48.428149420231314,inf,inf,-46.47332319590396,inf,inf,-51.33699888715331,inf,inf,-50.149323500354846,inf,inf,-48.90053405530613,inf
Y,current_year,1,1.1625032519374443,0.0509313971808624,-0.0011958033819969,1.157170884027671,0.0399423731115622,-0.0007380014262499,1.164422202863027,0.1899390893677322,-0.016485734121926,1.1173335586867,0.0053436532686429,-1.390092806685672e-05,1.12333627658002,0.0847012415179054,-0.0034558990533641,1.1449532348189724,0.074171550889341,-0.0043778677823207,0.074171550889341
Y,Is_Covid,1,10.377731007333471,-10.377720025880125,-49.64694127080997,10.383025450107205,-10.383006175103784,-49.86957847369781,10.230983661825949,-10.23097330102921,-47.83144387199723,1.131712902724999,-0.1603613870653004,-0.01251891997214,10.31642613896142,-10.316396291250507,-51.266955719981475,8.487975832190608,-8.293691436065785,-39.72548765129172,8.293691436065785
Y,Cd_I,1,1.664657412271582,-0.5314160784515218,-2.76721979429403,1.6451947038834915,-0.5263950157123656,-2.702706383806903,1.6579957890728916,-0.3726905562454209,-2.701676240710616,1.660451080865541,-0.5696286442198637,-3.252241491821935,1.6627577970347835,-0.5134735096673131,-3.1687371741729917,1.6582113566256578,-0.5027207608592971,-2.918516216961295,0.5027207608592971
Y,Cd_O,1,9.86963978859898,-9.80604279249082,-46.88217228030009,9.890212018908242,-9.829675697401136,-47.16900196345293,9.734978120072904,-9.684114482789504,-45.14890772814999,9.854671955149902,-9.83528526648572,-49.32447776800412,9.778622375324757,-9.740318258231689,-48.10376194851922,9.825624851610955,-9.779087299479771,-47.32566433768527,9.779087299479771
Y,Type_PrimaryCare,1,8.68452122426003,-8.490704548169669,-40.50030960485932,8.784717580554489,-8.600120035475056,-41.21172358442003,8.709102160144212,-8.503761107178622,-39.78272207276367,8.88022203898064,-8.714532349102447,-43.97833924780567,8.863103742985302,-8.687695097483532,-43.1421526080614,8.784333349384934,-8.599362627481865,-41.72304942358202,8.599362627481865
Y,Type_LabPathology,1,10.245712125502076,-10.230715843277522,-48.907011509049994,10.254659263935238,-10.239789440598097,-49.14577157684526,10.106904420089265,-10.090701008450443,-47.14554915615834,10.2652335390507,-10.250010080959598,-51.81890170230337,10.19231335633076,-10.175962945595227,-50.54307433254613,10.212964540981607,-10.197435863776178,-49.51206165538062,10.197435863776178
Y,Type_Anesthesia,1,9.6413738108136,-9.583187594618495,-46.011252841377065,9.650421455088145,-9.59402296572954,-46.24172744072669,9.517082422865082,-9.444571023745873,-44.39251465935564,9.67390292569073,-9.60813814812537,-48.878123777210725,9.60971045293701,-9.540379435828124,-47.689781113763615,9.618498213478912,-9.55405983360948,-46.642679966486746,9.55405983360948
Y,Type_OBGYN,1,10.17387194891768,-10.150548122472433,-48.70772397364416,10.187165885600509,-10.16518040245405,-48.96250533544589,10.051286059534984,-10.0264659864068,-47.019542121729074,10.213691550671006,-10.19472566634983,-51.69953792480956,10.148913792627292,-10.129034144888353,-50.4608081222556,10.154985847470291,-10.133190864514294,-49.37002349557686,10.133190864514294
Y,Type_SurgeryOther,1,9.511423924596908,-9.43792706015071,-44.819038897140146,9.535269314904658,-9.465872114749386,-45.11586063148473,9.41297516978758,-9.33063353705093,-43.357550551966234,9.577958346596604,-9.509883519074345,-47.77613798569797,9.525162674737254,-9.453374989209998,-46.66816479097805,9.5125578861246,-9.439538244047071,-45.54735057145342,9.439538244047071
Y,Type_CardioVascularSurgery,1,10.306551386362065,-10.301073953074903,-49.23464632405517,10.313025150735742,-10.307689192967452,-49.46218271297885,10.162700906439037,-10.156215547098432,-47.44315772133237,10.322902865538412,-10.31691214548678,-52.15215420387363,10.249616173891326,-10.243212811752004,-50.86919282809858,10.270959296593317,-10.265020730075914,-49.83226675806772,10.265020730075914
Y,Type_APP,1,8.97715471659148,-8.813001411980833,-42.793830291026,8.873995204309756,-8.699630362312881,-42.43857570552773,8.653469587129887,-8.439012789688206,-40.24603191132406,8.696008445293522,-8.516427297745949,-43.73297887511077,8.550098525324252,-8.356422789998703,-42.179918800680674,8.750145295729778,-8.564898930345315,-42.27826711673384,8.564898930345315
Y,Type_Cardiology,1,10.110058955409608,-10.088487267367013,-48.07830079959855,10.11904541733442,-10.09811951773147,-48.31515120469051,9.972445563264138,-9.946610666955316,-46.34638687618011,10.131209217866257,-10.109018629424067,-50.962351606276854,10.063259019727214,-10.039475874929195,-49.7298725080847,10.079203634720326,-10.056342391281412,-48.68641259896614,10.056342391281412
Y,Type_MedicalSpecialtyOther,1,9.573380513074207,-9.492973584016632,-45.05993106224707,9.58717540954523,-9.5093703766117,-45.30911941419565,9.451389836497388,-9.358266771943066,-43.45859683639963,9.602191558388563,-9.52274099107172,-47.8242274288277,9.54696466601371,-9.460285314803556,-46.72229044734753,9.55222039670382,-9.468727407689334,-45.67483303780351,9.468727407689334
Y,Type_RehabTherapy,1,9.547664440485937,-9.467874892961436,-45.392477820180495,9.53591723233512,-9.459002787463154,-45.492308738007786,9.39687720451824,-9.302877621623407,-43.653231749358326,9.536388290390066,-9.461476233419669,-47.93166912277448,9.438448252708165,-9.35582894920342,-46.56690756332074,9.491059084087505,-9.409412096934217,-45.80731899872837,9.409412096934217
Y,Type_FacilitySupplierProgram,1,9.884830347554509,-9.828299715016549,-47.0062752729046,9.908920691821285,-9.856853302127206,-47.309588985780955,9.755316050881545,-9.71298125399669,-45.292638491689736,9.890055509221408,-9.876024856195183,-49.56511008788141,9.822429776252903,-9.794395887010564,-48.38531891911638,9.852310475146329,-9.813711002869235,-47.51178635147461,9.813711002869235
Y,Type_OncologyHeme,1,10.19224878788136,-10.167014015329237,-48.50555207604953,10.198917934164683,-10.174111914544174,-48.73228640553679,10.049620859363529,-10.02142786072357,-46.72941300464961,10.206948174698788,-10.181863696921829,-51.37719638504223,10.136391073769056,-10.109845599965144,-50.12221701321634,10.156825365975482,-10.13085261749679,-49.0933329768989,10.13085261749679
Y,Type_RadiologyImaging,1,10.050758651867897,-10.025797507207818,-47.793412673331595,10.05934088526652,-10.035639668853683,-48.02220260323213,9.91334558836191,-9.883815642599618,-46.065479477558426,10.07289713363096,-10.046918631855757,-50.67127206088222,10.0038673104383,-9.976632266046863,-49.43292628755938,10.020041913913117,-9.993760743312748,-48.39705862051275,9.993760743312748
Y,Type_AcuteCare,1,9.892865400310294,-9.853325960787506,-47.09642654867075,9.843342068971364,-9.80211427233168,-47.02080691523454,9.681464645570951,-9.630210001939542,-45.00238223354769,9.820174190284185,-9.774304550239751,-49.42633344156117,9.7430534968199,-9.692747059451165,-48.16662769936472,9.796179960391338,-9.75054036894993,-47.34251536767577,9.75054036894993
Y,Type_BehavioralHealth,1,9.936059356030736,-9.892321486427091,-47.465331959254385,9.949072918208582,-9.907345754241604,-47.71692224008703,9.825414595962858,-9.783611044425244,-45.85047893090894,10.00549967833222,-9.972964039882074,-50.52814125000036,9.958532508125788,-9.924789195907977,-49.40427819386523,9.934915811332036,-9.896206304176795,-48.193030514823185,9.896206304176795
Y,Type_VisionHearing,1,9.93438958152548,-9.859377787691782,-47.18854944694946,9.9448578003898,-9.872945980423712,-47.428025091896835,9.816117435477938,-9.730853982839378,-45.58602909689011,9.97002657211324,-9.902635261335002,-50.10956633246588,9.903829584261867,-9.832312989512786,-48.89399104185128,9.913844194753665,-9.839625200360532,-47.841232202010715,9.839625200360532
Y,Type_PharmacyNutrition,1,10.365106368642987,-10.363848486664091,-49.59232632118293,10.36451898686388,-10.36307119072499,-49.785863867120895,10.210887164249456,-10.209012596290812,-47.74201195256217,10.367537838165289,-10.36586989821432,-52.44391698090352,10.2845871891128,-10.281421190443492,-51.10924769309593,10.318527509406882,-10.31664467246754,-50.13467336297309,10.31664467246754
Y,Type_UnknownOther,1,10.37352683219565,-10.37314510466508,-49.6241582048979,10.379562676056368,-10.379205812278569,-49.85051588850939,10.228161336460865,-10.227855058603891,-47.81629005295299,10.389508250301596,-10.38933245652872,-52.555840991559954,10.31460621956727,-10.314406286179624,-51.256211957729846,10.33707306291635,-10.336788943651175,-50.22060341913002,10.336788943651175
Y,Ind_Y,1,1.1679146963034166,0.0316522260003533,-0.0261687836250847,1.162841728330908,0.0180646539686648,-0.02658466600799,1.167688130767989,0.1669702546655689,-0.0347236851435701,1.123556810359415,-0.0211782287114777,-0.0276214195963229,1.12804906506862,0.0565155909898397,-0.0262812729038235,1.1500100861660696,0.0504048993825898,-0.0282759654553582,0.0504048993825898
Y,Ind_N,1,10.371743649654489,-10.371128125726925,-49.62046466522562,10.376897042695068,-10.376281781846997,-49.842302051361145,10.2259405047077,-10.225357918453328,-47.809561491457885,10.38530211709503,-10.384743187631122,-52.53812992202034,10.311021452027466,-10.310459964341598,-51.2417575282001,10.33418095323595,-10.333594195599993,-50.210443131653015,10.333594195599993
Y,APP_Tot_Risk_2,1,2.515029043463027,-1.5622008366622526,-6.777043550006043,2.617337299781545,-1.7004065564403368,-7.351457251754677,2.684187458479239,-1.6662120301803791,-7.511142778110573,2.7643249998405746,-1.9390551045108628,-8.751730457863495,2.8415801536607046,-1.9494047127777956,-9.0121810837678,2.684491791045018,-1.7634558481143254,-7.880711024300519,1.7634558481143254
Y,APP_Tot_Risk_1,1,9.0015221176141,-8.841063356330269,-42.92983296720516,8.9016038228386,-8.731058388442815,-42.59605930064172,8.687881362156492,-8.478275902877733,-40.44251839422704,8.740624793019066,-8.565827795805331,-44.00753408203376,8.619990093721682,-8.433186520268636,-42.59527437538899,8.790324437869987,-8.609882392744957,-42.51424382389933,8.609882392744957
Y,APP_Tot_Risk_0,1,10.352789171623956,-10.349949726791197,-49.50931881690375,10.35460697555454,-10.351673217910042,-49.70987962641321,10.195173327917637,-10.191107169529054,-47.63167304172905,10.345124084015902,-10.340378759398144,-52.28743770724087,10.244548105957312,-10.234958001436198,-50.84610323064559,10.29844833301387,-10.293613375012928,-49.99688248458649,10.293613375012928
Y,PrimaryCare_Tot_Risk_0,1,9.54734492830588,-9.440496461408696,-45.302147551028774,9.61158734828352,-9.50917403113073,-45.832893015228755,9.5036484781168,-9.391798710493228,-44.114008853102504,9.63719841950673,-9.54514718029389,-48.44887224241457,9.69974134654918,-9.610314876623269,-47.968222517017566,9.599904104152422,-9.499386251989964,-46.33322883575844,9.499386251989964
Y,PrimaryCare_Tot_Risk_2,1,2.847342717779622,-1.853069174471455,-9.143167872834928,2.7483309749166023,-1.7640346321421232,-8.655131204852077,2.6781674347510003,-1.5609145656615084,-8.05869801037045,2.6238528605286873,-1.6975691092430774,-8.586253369505487,2.571265322293903,-1.572692610344833,-8.124501250125421,2.6937918620539625,-1.6896560183725997,-8.513550341537671,1.6896560183725997
Y,PrimaryCare_Tot_Risk_1,1,9.504761407006756,-9.432399029940823,-44.82615245685956,9.545315215736276,-9.47631982425976,-45.22900011245009,9.427513463808582,-9.344242432745489,-43.481829900222685,9.62281630341767,-9.564795074465271,-48.07482150085354,9.469600431933143,-9.38637678719072,-46.42227595012442,9.514001364380489,-9.440826629720414,-45.60681598410206,9.440826629720414
Y,MedicalSpecialtyOther_Tot_Risk_2,1,1.942376037434668,-0.848830704327829,-4.555199261781914,1.9287344534912725,-0.851566369050338,-4.527918850196888,1.9201341759284272,-0.7026313875558402,-4.354378890166005,1.887389051949229,-0.8852916511469772,-4.71246035352852,1.874138541246252,-0.7966549775888538,-4.5188667969784415,1.9105544520099695,-0.8169950179339678,-4.533764830530354,0.8169950179339678
Y,MedicalSpecialtyOther_Tot_Risk_0,1,10.000165657508555,-9.969879402727718,-47.42094610986312,10.009110297242293,-9.980043920574728,-47.65116177670798,9.862400702601857,-9.82553495012999,-45.688665862271534,10.027962135685604,-10.000940866774917,-50.29236849566497,9.888670718401915,-9.846462258929732,-48.65846653071375,9.957661902288043,-9.924572279827418,-47.94232175504427,9.924572279827418
Y,MedicalSpecialtyOther_Tot_Risk_1,1,9.946190252236503,-9.903879050913206,-47.2782960010164,9.955931268856338,-9.914794966596364,-47.519482328071526,9.814398580253512,-9.76558913740456,-45.5930769147906,9.958575388333829,-9.915790968342462,-50.08800906728254,9.967688183498858,-9.925931273899664,-49.32153417302965,9.928556734635809,-9.885197079431252,-47.96007969683814,9.885197079431252
Y,LabPathology_Tot_Risk_3,1,1.2933754382813614,-0.1091206697396874,-0.7390799365080198,1.2844943264824171,-0.118854208312856,-0.7225748921919519,1.2860100480874523,0.0316095306277731,-0.6977006274236124,1.2434718098173765,-0.1562785593605766,-0.7464532455701707,1.2465250493220008,-0.0784668572052726,-0.7244396351156437,1.2707753343981216,-0.0862221527981239,-0.7260496673618796,0.0862221527981239
Y,LabPathology_Tot_Risk_2,1,10.30385967790715,-10.296522631150864,-49.255313977045454,10.31224594916445,-10.30491414216202,-49.49284233524271,10.162558866968194,-10.154461974859004,-47.47606188730657,10.32658643883984,-10.319134815142151,-52.20807203435029,10.258332436401036,-10.250993883445808,-50.952437435589594,10.272716673856133,-10.265205489351969,-49.87694553390692,10.265205489351969
Y,LabPathology_Tot_Risk_1,1,10.328701784227023,-10.322656300216185,-49.36021872654083,10.335137072306011,-10.329257027966545,-49.58946240547591,10.184579894502928,-10.178389087509856,-47.56539884849768,10.340225290031777,-10.334108893003592,-52.254485874322114,10.262137472622213,-10.25493958602334,-50.94332943225647,10.29015630273799,-10.283870178943904,-49.9425790574186,10.283870178943904
Y,LabPathology_Tot_Risk_0,1,10.368228242250623,-10.366868717381935,-49.58306750617178,10.37284166995328,-10.3713570458836,-49.80013760263386,10.221035276763043,-10.219579924297127,-47.76432724912715,10.380275088681794,-10.378735610744132,-52.48630691567793,10.303820301738718,-10.301424734893269,-51.17847041673658,10.329240115877491,-10.327593206640014,-50.162461938069455,10.327593206640014
Y,PharmacyNutrition_Tot_Risk_2,1,1.1733764955834312,0.0242087381865854,-0.0528126983396275,1.1737604405381126,0.0034498095771614,-0.0814338067721889,1.1811265991039883,0.1489110953760886,-0.1004101620797994,1.1409888263742585,-0.0419463246496637,-0.1215651698631261,1.1529927239579127,0.0241695936348305,-0.1566554230313699,1.1644490171115405,0.0317585824250004,-0.1025754520172224,0.0317585824250004
Y,PharmacyNutrition_Tot_Risk_0,1,10.366896008931212,-10.365801133768285,-49.60026470327584,10.366695757191785,-10.365395835627195,-49.79736031255502,10.21314751076917,-10.211529320473945,-47.75353834178627,10.370482667683644,-10.369063159322154,-52.45979262479449,10.287523471555923,-10.284759551562717,-51.12446103709922,10.320949083226347,-10.319309800150858,-50.147083403902165,10.319309800150858
Y,PharmacyNutrition_Tot_Risk_1,1,10.375942015692376,-10.375771741377442,-49.63900015972392,10.3808474893752,-10.380694274469844,-49.85806178131635,10.228724780505694,-10.228484689420776,-47.81987824564384,10.3884209607181,-10.388165117773235,-52.550718662277426,10.313529641643711,-10.3131237062519,-51.251744697039065,10.337492977587017,-10.33724790585864,-50.22388070920013,10.33724790585864
Y,state_South,1,7.098663393621447,-6.662108256207423,-31.73380198612253,7.091821040516982,-6.659124036635976,-31.836922830227607,6.9688760294616925,-6.48111656241194,-30.384739178560185,7.038974665933554,-6.621771216535287,-33.36153143881181,6.981797218910108,-6.53326729577346,-32.48360575989784,7.036026469688757,-6.591477473512818,-31.960120238723995,6.591477473512818
Y,state_Midwest,1,8.201522931629338,-7.923743696160738,-38.12769830183079,8.204562962198851,-7.934840485112406,-38.29159560673319,8.097564900441025,-7.787010725576241,-36.78400928037893,8.218095286392769,-7.965505913318633,-40.466959929071734,8.172305067720927,-7.902654154892304,-39.546994146890626,8.178810229676582,-7.902750995012065,-38.643451452981054,7.902750995012065
Y,state_Northeast,1,8.368446256796245,-8.120653228058,-38.86281910346495,8.381367562767696,-8.136239617357045,-39.09902101449439,8.276122933494387,-7.997174892157797,-37.58572708613214,8.404186069287817,-8.18162970941722,-41.326782518448944,8.351047444012204,-8.111705641392792,-40.32122247172952,8.356234053271669,-8.10948061767657,-39.43911443885399,8.10948061767657
Y,state_West,1,8.666843010920392,-8.436935723298522,-40.42670487850937,8.668895978458814,-8.44234259907587,-40.59349093583834,8.547940195630652,-8.297883964886566,-38.93225948395413,8.665524500872467,-8.459970955825183,-42.73509837453892,8.599270866609322,-8.377292060185837,-41.62526479947708,8.62969491049833,-8.402885060654395,-40.86256369446356,8.402885060654395
Y,state_Territory,1,10.33477109081823,-10.329692667064435,-49.43791683926894,10.341462623074849,-10.336541002150147,-49.66614072151566,10.193464964150037,-10.18795962069522,-47.652815079152965,10.354568952387336,-10.35025689159158,-52.377912226539955,10.282064070068651,-10.277427121425935,-51.09437829345797,10.30126634009982,-10.296375460585464,-50.045832631987096,10.296375460585464
Y,state_Military,1,10.376960397111414,-10.376859753146286,-49.64302209628926,10.382233159140844,-10.382142180019454,-49.86551556168362,10.230269350874543,-10.23017597077749,-47.82781619015392,10.390643320562782,-10.390566476641755,-52.56281341607031,10.315666449268583,-10.315530433958424,-51.26292785665403,10.339154535391632,-10.33905496290868,-50.23241902417023,10.33905496290868
Y,state_Unknown,1,10.37692380936112,-10.37681003623768,-49.64278546044328,10.38091348711306,-10.38069353190027,-49.8582358432172,10.230305506056832,-10.230189255966806,-47.82798030997117,10.390627604410271,-10.39053501977789,-52.56264831366285,10.315764323530678,-10.315636162597851,-51.26337409683464,10.338906946094392,-10.338772801296098,-50.23100480482583,10.338772801296098
Y,Log_Tot_HCPCS_Cds,1,2.3615588477575216,-1.0198230718658674,-3.2635868494743514,2.371444637209359,-1.0440253205684704,-3.282915869500111,2.338318848778276,-0.8550916143636972,-3.0711433517844533,2.3132210414863548,-1.0851720480941238,-3.3357573091037587,2.269301625022074,-0.996521154023254,-3.128379834022335,2.330769000050717,-1.0001266417830823,-3.216356642777002,1.0001266417830823
